11 interesting moves
ove 65:250s. -55 -1 0 48 straight;[] : 195s= 3m15s sans bug 
Move 64:240s. -48 0 0 48 straight;[]
Move 63:240s. -48 0 0 47 straight;[]
Move 62:240s. -48 5 0 44 straight;[]
Move 61:240s. -48 4 0 43 straight;[]
Move 60:240s. -48 3 9 42 k_turn;[2, 3, 3]
Move 59:240s. -48 2 0 41 straight;[]
Move 58:240s. -48 1 0 40 straight;[]
Move 57:240s. -48 -1 0 39 straight;[]
Move 56:200s. -43 0 0 39 straight;[]
Move 55:200s. -43 0 0 38 straight;[]
Move 54:200s. -43 2 0 37 turn;[2, 3]
Move 53:200s. -43 3 1 37 turn;[2, 3]
Move 52:200s. -43 4 0 36 straight;[]
Move 51:200s. -43 -1 0 35 straight;[]
Move 50:190s. -37 5 0 35 straight;[]
Move 49:190s. -37 4 0 34 straight;[]
Move 48:190s. -37 3 0 33 straight;[]
Move 47:190s. -37 0 3 32 turn;[1, 2]
Move 46:190s. -37 0 2 32 turn;[1, 2]
Move 45:190s. -37 2 1 32 turn;[1, 2]
Move 44:190s. -37 -1 0 31 straight;[]
Move 43:160s. -32 0 0 31 straight;[]
Move 42:160s. -32 3 0 30 straight;[]
Move 41:160s. -32 0 9 29 k_turn;[1, 2, 2]
Move 40:160s. -32 2 0 28 straight;[]
Move 39:160s. -32 1 0 27 k_turn;[1, 2, 2]
Move 38:160s. -32 -1 0 26 straight;[]
Move 37:120s. -26 0 0 26 straight;[]
Move 36:120s. -26 0 0 25 straight;[]
Move 35:120s. -26 2 0 24 turn;[2, 3]
Move 34:120s. -26 3 0 23 straight;[]
Move 33:120s. -26 4 0 22 straight;[]
Move 32:120s. -26 5 0 21 straight;[]
Move 31:120s. -26 -1 0 20 straight;[]
Move 30:110s. -20 5 0 20 straight;[]
Move 29:110s. -20 4 0 19 straight;[]
Move 28:110s. -20 3 0 18 straight;[]
Move 27:110s. -20 0 3 17 turn;[1, 2]
Move 26:110s. -20 0 2 17 turn;[1, 2]
Move 25:110s. -20 2 1 17 turn;[1, 2]
Move 24:110s. -20 -1 0 16 straight;[]
Move 23:80s. -15 0 0 16 straight;[]
Move 22:80s. -15 3 0 15 straight;[]
Move 21:80s. -15 2 0 14 straight;[]
Move 20:80s. -15 0 0 13 turn;[1, 2]
Move 19:80s. -15 1 0 12 straight;[]
Move 18:80s. -15 -1 0 11 straight;[]
Move 17:40s. -9 0 0 11 straight;[]
Move 16:40s. -9 2 0 10 turn;[2, 3]
Move 15:40s. -9 0 1 10 turn;[2, 3]
Move 14:40s. -9 3 0 9 straight;[]
Move 13:40s. -9 4 0 8 straight;[]
Move 12:40s. -9 5 0 7 straight;[]
Move 11:40s. -9 -1 0 6 straight;[]
Move 10:30s. -3 5 0 6 straight;[]
Move 9:30s. -3 4 0 5 straight;[]
Move 8:30s. -3 3 0 4 straight;[]
Move 7:30s. -3 0 3 3 turn;[1, 2]
Move 6:30s. -3 0 2 3 turn;[1, 2]
Move 5:30s. -3 2 1 3 turn;[1, 2]
Move 4:30s. -3 -1 0 2 straight;[]
Move 3:0s. -0 3 0 2 straight;[]
Move 2:0s. -0 2 0 1 turn;[3, 4]
Move 1:0s. -0 1 0 0 straight;[]
Move 0:0s. -0 -1 0 -1 straight;[]

##########NEW##############
Move 64:250s. -54 -1 0 48 straight;[]
Move 63:240s. -47 0 0 48 straight;[]
Move 62:240s. -47 0 0 47 straight;[]
Move 61:240s. -47 5 0 44 straight;[]
Move 60:240s. -47 4 0 43 straight;[]
Move 59:240s. -47 3 9 42 k_turn;[2, 3, 3]
Move 58:240s. -47 2 0 41 straight;[]
Move 57:240s. -47 1 0 40 straight;[]
Move 56:240s. -47 -1 0 39 straight;[]
Move 55:200s. -42 0 0 39 straight;[]
Move 54:200s. -42 0 0 38 straight;[]
Move 53:200s. -42 2 0 37 turn;[2, 3]
Move 52:200s. -42 3 1 37 turn;[2, 3]
Move 51:200s. -42 4 0 36 straight;[]
Move 50:200s. -42 -1 0 35 straight;[]
Move 49:190s. -36 5 0 35 straight;[]
Move 48:190s. -36 4 0 34 straight;[]
Move 47:190s. -36 3 0 33 straight;[]
Move 46:190s. -36 0 3 32 turn;[1, 2]
Move 45:190s. -36 0 2 32 turn;[1, 2]
Move 44:190s. -36 2 1 32 turn;[1, 2]
Move 43:190s. -36 -1 0 31 straight;[]
Move 42:160s. -31 0 0 31 straight;[]
Move 41:160s. -31 3 0 30 straight;[]
Move 40:160s. -31 0 9 29 k_turn;[1, 2, 2]
Move 39:160s. -31 2 0 28 straight;[]
Move 38:160s. -31 1 0 27 k_turn;[1, 2, 2]
Move 37:160s. -31 -1 0 26 straight;[]
Move 36:120s. -25 0 0 26 straight;[]
Move 35:120s. -25 0 0 25 straight;[]
Move 34:120s. -25 2 0 24 turn;[2, 3]
Move 33:120s. -25 3 0 23 straight;[]
Move 32:120s. -25 4 0 22 straight;[]
Move 31:120s. -25 5 0 21 straight;[]
Move 30:120s. -25 -1 0 20 straight;[]
Move 29:110s. -19 5 0 20 straight;[]
Move 28:110s. -19 4 0 19 straight;[]
Move 27:110s. -19 3 0 18 straight;[]
Move 26:110s. -19 0 3 17 turn;[1, 2]
Move 25:110s. -19 0 2 17 turn;[1, 2]
Move 24:110s. -19 2 1 17 turn;[1, 2]
Move 23:110s. -19 -1 0 16 straight;[]
Move 22:80s. -14 0 0 16 straight;[]
Move 21:80s. -14 3 0 15 straight;[]
Move 20:80s. -14 2 0 14 straight;[]
Move 19:80s. -14 0 0 13 turn;[1, 2]
Move 18:80s. -14 1 0 12 straight;[]
Move 17:80s. -14 -1 0 11 straight;[]
Move 16:40s. -9 0 0 11 straight;[]
Move 15:40s. -9 0 0 10 turn;[2, 3]
Move 14:40s. -9 2 0 9 straight;[]
Move 13:40s. -9 3 0 8 straight;[]
Move 12:40s. -9 4 0 7 straight;[]
Move 11:40s. -9 -1 0 6 straight;[]
Move 10:30s. -3 5 0 6 straight;[]
Move 9:30s. -3 4 0 5 straight;[]
Move 8:30s. -3 3 0 4 straight;[]
Move 7:30s. -3 0 3 3 turn;[1, 2]
Move 6:30s. -3 0 2 3 turn;[1, 2]
Move 5:30s. -3 2 1 3 turn;[1, 2]
Move 4:30s. -3 -1 0 2 straight;[]
Move 3:0s. -0 3 0 2 straight;[]
Move 2:0s. -0 2 0 1 turn;[3, 4]
Move 1:0s. -0 1 0 0 straight;[]
Move 0:0s. -0 -1 0 -1 straight;[]
##########NEW##############
Move 69:260s. -58 -1 0 48 straight;[]
Move 68:250s. -55 0 0 48 straight;[]
Move 67:250s. -55 5 0 47 straight;[]
Move 66:250s. -55 4 0 46 straight;[]
Move 65:250s. -55 -1 0 44 straight;[]
Move 64:240s. -48 5 0 44 straight;[]
Move 63:240s. -48 4 0 43 straight;[]
Move 62:240s. -48 0 3 42 k_turn;[2, 3, 3]
Move 61:240s. -48 0 2 42 k_turn;[2, 3, 3]
Move 60:240s. -48 3 1 42 k_turn;[2, 3, 3]
Move 59:240s. -48 2 0 41 straight;[]
