10 interesting moves

##########NEW##############
Move 96:280s. -81 -1 0 72 straight;[] = 199s = 3m19
Move 95:270s. -78 0 0 72 straight;[]
Move 94:270s. -78 5 0 71 straight;[]
Move 93:270s. -78 4 0 70 straight;[]
Move 92:270s. -78 -1 0 68 straight;[]
Move 91:260s. -71 5 0 68 straight;[]
Move 90:260s. -71 4 0 67 straight;[]
Move 89:260s. -71 3 0 66 straight;[]
Move 88:260s. -71 2 0 65 straight;[]
Move 87:260s. -71 0 0 64 turn;[1, 2]
Move 86:260s. -71 0 0 63 straight;[]
Move 85:260s. -71 1 0 62 straight;[]
Move 84:260s. -71 -1 0 61 straight;[]
Move 83:220s. -65 0 0 61 straight;[]
Move 82:220s. -65 0 0 60 straight;[]
Move 81:220s. -65 2 0 59 k_turn;[2, 3, 3]
Move 80:220s. -65 3 0 58 straight;[]
Move 79:220s. -65 4 0 57 turn;[4, 5]
Move 78:220s. -65 5 0 56 straight;[]
Move 77:220s. -65 -1 0 55 straight;[]
Move 76:210s. -58 5 0 55 straight;[]
Move 75:210s. -58 0 9 54 k_turn;[3, 4, 4]
Move 74:210s. -58 4 0 53 straight;[]
Move 73:210s. -58 3 0 52 straight;[]
Move 72:210s. -58 2 0 51 straight;[]
Move 71:210s. -58 0 0 50 turn;[1, 2]
Move 70:210s. -58 1 0 49 turn;[1, 2]
Move 69:210s. -58 -1 0 48 straight;[]
Move 68:170s. -52 0 0 48 straight;[]
Move 67:170s. -52 0 0 47 straight;[]
Move 66:170s. -52 2 0 46 straight;[]
Move 65:170s. -52 3 0 45 turn;[4, 5]
Move 64:170s. -52 4 0 44 straight;[]
Move 63:170s. -52 5 0 43 straight;[]
Move 62:170s. -52 -1 0 42 straight;[]
Move 61:160s. -45 5 0 42 straight;[]
Move 60:160s. -45 4 0 41 straight;[]
Move 59:160s. -45 3 0 40 straight;[]
Move 58:160s. -45 0 3 39 turn;[1, 2]
Move 57:160s. -45 0 2 39 turn;[1, 2]
Move 56:160s. -45 2 1 39 turn;[1, 2]
Move 55:160s. -45 1 0 38 straight;[]
Move 54:160s. -45 -1 0 37 straight;[]
Move 53:110s. -38 0 0 37 straight;[]
Move 52:110s. -38 0 0 36 straight;[]
Move 51:110s. -38 1 0 35 turn;[1, 2]
Move 50:110s. -38 2 1 35 turn;[1, 2]
Move 49:110s. -38 3 0 34 straight;[]
Move 48:110s. -38 4 0 33 straight;[]
Move 47:110s. -38 5 0 32 straight;[]
Move 46:110s. -38 -1 0 31 straight;[]
Move 45:100s. -33 5 0 31 straight;[]
Move 44:100s. -33 4 0 30 straight;[]
Move 43:100s. -33 0 3 29 turn;[2, 3]
Move 42:100s. -33 0 2 29 turn;[2, 3]
Move 41:100s. -33 3 1 29 turn;[2, 3]
Move 40:100s. -33 -1 0 28 straight;[]
Move 39:80s. -29 0 0 28 straight;[]
Move 38:80s. -29 0 0 27 straight;[]
Move 37:80s. -29 4 0 26 straight;[]
Move 36:80s. -29 5 0 25 straight;[]
Move 35:80s. -29 -1 3 24 turn;[4, 5]
Move 34:70s. -25 0 3 24 turn;[4, 5]
Move 33:70s. -25 0 2 24 turn;[4, 5]
Move 32:70s. -25 5 1 24 turn;[4, 5]
Move 31:70s. -25 4 0 23 straight;[]
Move 30:70s. -25 -1 0 22 straight;[]
Move 29:60s. -19 5 0 22 straight;[]
Move 28:60s. -19 4 0 21 straight;[]
Move 27:60s. -19 0 9 20 k_turn;[2, 3, 3]
Move 26:60s. -19 0 0 19 straight;[]
